movie,title,body,rating,upvotes,downvotes,emotion,sentiment,sarcasm,ABSA,Sentiment(withSarcasm),label1,label2,sarcasmMistral,Fliped_Sentiment(Mistral),ABSA(2nd),ABSA(2nd)_testing
Teri Baaton Mein Aisa Uljha Jiya,Awesome movie,"Kirti Sanon 's acting is superb .she is the future of Bollywood. She has failed all other heroins right now . Her looks n way of walking is exactly like robots super impressed by her. There is no word for shahid Kapoor , all time fabulous and handsome man . A lots of love to TBMUJ.the story line is a unique and new as per today's artificial intelligence world . It Has suspense ,comedy ,drama and romance .waiting for 2 nd part also . A must watch movie for all audiences. This is my first review to any film .i never wrote any reviews about movies before this . Super duper hit movie of 2024.loved.",10.0,1,2,joy,POSITIVE,0,"[{'aspect': 'movie', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9743810296058655}",Positive
Teri Baaton Mein Aisa Uljha Jiya,Full Paisa Vasool!,"Absolutely loved it! Full Paisa Vasool! (Which is something that rarely happens these days.)
Such a refreshing take on the human-robot dilemma. The writing and directing was so clear; the editing precise.

Loved watching Shahid Kapoor in a fun and light role.

Kriti Sanon was TOO! GOOD! She played being a robot without being robotic and expressionless so effortlessly. And the climax! My God, that was something!

Both actors brought the emotions and fun necessary for the story.

And the supporting actors did a great job at supporting the lead and the plot.

My mum and aunt loved it too, so that's definitely a win! Totally worth the watch! (And multiple re-watch!)",10.0,0,5,joy,POSITIVE,0,"[{'aspect': 'direct', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9910498857498169}",Positive
Teri Baaton Mein Aisa Uljha Jiya,Relatable and relevant,"Forgive me for being an amateur but I loved the movie. I found it entertaining and to some extend, the movie played just as my imagination wished it did.

The storyline might be unorthodox to some, but is a breath of fresh air. No nudity, no insanity, no killing, just fantasy. Some like it, others don't and that's too bad for them (I guess by now, you know where I stand :)

It's easy to criticize the story of an Engineer who falls in love with a robot and laugh at it; but they are real people suffering out there who are looking for alternative to an actual human. Someone who would know you in and out, who would be ready to understand, care and show you love and if that's not enough is human like and, angel-beautiful.

Yeah-yeah, I can see the stares but our brain is complex and the connection between our heart and our brain at time hard to comprehend.

The woman enacting Sifra is for me the highlight here. My brain got so much used to her human-like robotic manners that her talking in real life is like a continuation of the movie. She could replace Siri and still be human. Spot on acting in my opinion. Let's agree to disagree.

The main actor is not left behind either. To me, he has always been the guy whose feelings are so genuinely expressed. His laugh sounds fake but his turmoil and sadness are just so real. He can be fun too and all that cocktail makes him a delight to watch.

Thank you for this very entertaining movie. I am going to try going back to real life now.",10.0,0,1,anger,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.8137082457542419}",Positive
Teri Baaton Mein Aisa Uljha Jiya,Fully Entertained Movie,"Go and watch , if you want to watch something new.

Fully entertained family movie. @shahidkapoor brilliant as always, His eyes expression says it all as always especially in climax in this movie , treat to watch it again. @kritisanon as robot was phenomenal by her hard work. She's look pretty much, most of favourite after watching her performance in this movie. Thanks to maddock to giving such types of movies. I love it. Climax was superb include police station scene. Comic timing , love angle between aryan and sifra is bestest. I've watch 2 times but never bored. Audience loves it more and more.

I love to watch , you also go and watch first.",10.0,0,1,joy,POSITIVE,0,"[{'aspect': 'movie', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9935683608055115}",Positive
Kalki 2898 AD,Kalki Cinematic Universe,"The Kalki 2898 AD movie is an epic dystopian science fiction action film directed and written by Nag Ashwin. The film features Prabhas, Amitabh Bachchan, Kamal Hassan, and Deepika Padukone in lead roles.

The 'Hollywood range' visuals are absolutely stunning for a theatrical watch, and the background score is impactful in places.

*Overall*

This is a great start to an epic cinematic universe of India! The Kalki 2898 AD movie is an epic dystopian science fiction action film directed and written by Nag Ashwin. The film features Prabhas, Amitabh Bachchan, Kamal Hassan, and Deepika Padukone in lead roles.",10.0,67,62,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9511390328407288}",Positive
Kalki 2898 AD,Disappointing and pathetic,I saw excellent reviews of the movie and got impressed and went to watch the movie with whole family. Made a huge mistake. . Poor story line. Doesn't grip the audience at all. Pathetic role of Prabhas and his dialogues doesn't suit the theme of the movie. Kamal Hasan acts as if he is startrek rather than kalki. Just doesn't impress. Special effects are good but the fusion of scifi with kalki theme were too much loaded. Most of the folks' acting and dialogues appeared artificial including Deepika's. Only consolation was Amitabh. But overall Waste of time and money. Just avoid or atleast consult a friend who has watched.,2.0,4,0,sadness,NEGATIVE,0,"[{'aspect': 'dialogue', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.8045915365219116}",Negative
Kalki 2898 AD,"Fully Animation made movie, Good for teens not enjoyable for adults","The first half is pure fiction, computer game like, special effects, very confusing, as if you are showing your child some movie to keep him engrossed, and feeling dizzy, almost sleeping intermittently in between, unable to grasp what's happening, wondering whether to continue watching or move out, then suddenly its interval!! Wow. What a relief!

You start wondering why there were such great reviews of this movie. So you sit through the 2nd half, relishing the popcorn/samosas and Fanta more than the movie. Finally some story line falls in place - more hypothetical than real or even mythological.

At the end...... it such a relief to get up and move out of the movie.

Highlights of the experience:

1) First time, I slept 2-3 times with small nap in the 1st half- as if some power was forcing me to sleep.

2) First time I found such a big budget movie with many superstars so childish.

3) First time I felt either I have become too old or the producers were too young in their thinking.

You may like to actually experience what I have said. For that you will have to watch the movie. All the best!!!",2.0,13,6,surprise,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.7717655301094055}",EMPTY
Kalki 2898 AD,Finally india has matched the VFX standards of Hollywood,"First of all, the VFX. . Damn, i am amazed that an indian movie has done this kinda work. It is seriously good. Just 1 of 2 scenes which got a cartoony feel but apart from that the cinematic experience was unreal. Very close to an Marvel movie i have to say! We're finally getting there. The attention to details are damn good!

I am not someone who really likes south movies but this was really good. The story is okay i feel and its trying to build up slowly but you'd forgive all that for the VFX. The action scenes between prabhas and amitabh, a little too extended but was a treat to the eyes. The music was fantastic. Acting of prabhas and amitabh was superb but the rest were okay.

Amitabh 's role as Ashwatthama was a masterpiece. Gotta say even at 80+ amitji's aura is something worth watching and the voice! It is definitely a one time watch in the theaters especially in an Imax!",9.0,3,2,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9788817167282104}",Positive
Kalki 2898 AD,History Changing Movie for Indian Cinema.,"OMG! Just woww, Wowww and 3009 times Wowww. What I have seen in theaters, I'm not believing it on my eyes. This Kalki 2898 AD movie shows the true Cinema and a true sense movie. Darling Prabhas You are Darling For sure.

STARS SHOULD MUST BE 10/10* & 5/5*

Amitabh Bachchan, Oh my goddd he is the soul of this movie, just can't tell how best of the best he was in this movie. Bow down to you Amit Ji

Deepika Padukone Once again she has proved as why she is the biggest female star of Indian Cinema.

And Kamal Hassan, OMG, he is the second soul of this Movie.

Please Go out and watch this Masterpiece.",10.0,5,8,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9880262017250061}",Positive
Kalki 2898 AD,Dark cinematography is pain to the eyes,"Watched it in 3d very bad choice may becoz the theatre was bad or may the movie was shot like that ....
Dystopian cinema has made makers to believe that the graphics sud be either dark or muddy like mad max.... 3d was so bad that I cud hardly recognize some faces and also whole screen view was difficult to understand so I cudnt enjoy this cinematic marvel ... hope it gets released on Netflix for quality viewing for 2nd time ...
Story very good
Performance very good by all actors
Futuristic world shown original and very good
Direction had loose ends
Screen play too lengthy
Dialogues Hardly any which is not bad thing ...
Comedy tried but not effect full
Visuals great .....

BGM horrible ....
Songs few but horrible ...
Action in the entry scene ... horrible
Characterization
Prabhas : not that good
Amithabji: too good
Deepaks : good
Disha: not applicable
Kamal : good but more to come ....

When will our makers be able to make accomplished movie
It's either action is good or story is good or songs are good ...

Bahuballi had everything good in it ... hence there were no mixed reviews all
Liked it
Here out of pity fans have to like the movie ... for the love of actor but not movie ...

It's hard to see this movie again ... specially first half ...
All have worked hard except for writers and director ... directors job is to make great cinema for whole 3 hours not this part was good or that was good ... I understand story build up and setting up premise is imp with out main actors jump into scene ... but that sud be the best part .. informing audience through point of view not by the eyes to main characters but by common people who faced serious problems before leads can come in ... am big fan for 3+ hours movie ... this one dint do justice to first half .... Although this movie is huge step for new era of cinema who will now spend on such concepts .....",7.0,0,0,joy,NEGATIVE,0,"[{'aspect': 'actor', 'sentiment': 'Negative'}, {'aspect': 'scene', 'sentiment': 'Negative'}, {'aspect': 'quality', 'sentiment': 'Negative'}, {'aspect': 'story', 'sentiment': 'Negative'}, {'aspect': 'director', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.9189140200614929}",Negative
Kalki 2898 AD,Kalki 2898-AD ( (the re-establishment of righteousness),"I just watched a movie that left me completely enthralled, and I feel compelled to share my heartfelt review. This film is absolutely fantastic, and I genuinely believe it was worth every penny spent on the ticket.

The storyline is familiar to many: it centers around the arrival of Kalki, who vanquishes all the wrongdoers and ushers in a new era. However, the real essence of the film lies in the details, especially in its conclusion, which is what everyone needs to understand. The ending is particularly significant and is what makes this movie truly remarkable. In short, this movie is an exceptional portrayal of Dharmasamsthapana.",10.0,3,5,surprise,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9887650012969971}",Positive
Kalki 2898 AD,One time watch ...,If you felt like you watched this film before you probably have. It's a mix and copy from major Hollywood films with a twist of Hindu gods thrown in for the locals . Prabhas needs to stop with that. Overall good story but duration is just way too long I watched entire movie as a web series . Who has time to watch 3 hour movie in one go ? Deepika had 4 whole dilagoues in the film and she is a lead that was a disappointment. Shobana role had scope . It had a huge star cast . Over all one time watch. Is it worth the hype? No. Now all starting their own universe im so confused lol . Amithabh bachan got a role of lifetime he is the soul of the movie and feeling like prabhas is a guest role. Kamal Hassan hoping sequel has more answers.,7.0,0,1,fear,NEGATIVE,0,[],NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.9501586556434631}",Negative
Kalki 2898 AD,Amitabh Bachchan is the GOAT,"Finally, a sci-fi dystopian movie based on Indian mythology. Please don't butcher it... Oh, okay, you butchered it.

Amitabh Bachchan carried the whole movie single-handedly. His character is so well-written that you want him to have more screen time, unlike Prabhas's character.

Whenever I saw Prabhas, I cringed. He made around 14 heroic entries in a single action sequence-totally unnecessary. I don't understand why directors are forcing Prabhas to do comedy when there's already a comedian in the movie (another GOAT).

The Mahabharat sequences feel fresh and engaging, but they went full CGI for the young Amitabh Bachchan's face, which feels janky and breaks immersion. Someone suggested in another review that they should have cast Abhishek Bachchan as young Ashwatthama, which could have been a better choice.

The movie wastes so much time on epic character entries and buildup that the story feels rushed and gets less time.

Thank God it has a much more interesting villain than the protagonist.

Watch this movie for its story and visuals; the characters are poorly written.",6.0,0,2,joy,NEGATIVE,0,"[{'aspect': 'director', 'sentiment': 'Negative'}, {'aspect': 'visual', 'sentiment': 'Positive'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.7293792366981506}",EMPTY
Kalki 2898 AD,Good movie,"Excellent vfx, cinematography and good story. Thanks for giving such a masterpiece. BGM was nice. Visual treat. Finally kamal hassan is absolutely on fire 🔥 even though with this small screentime. I am rating it 7/10.

I would have given good rating above 8/10 if this movie have strong characterization of Prabhas, having fast paced stunt sequence in the first half instead of lazy slow stunt sequence.

Overall it should go for Kalki part-2.

Things I don't like :
1. Slow first half
2. Prabhas character in the first half
3. Lazy stunt sequence in the first half

Goosebumps scene :
1) First opening scene
2) Climax action portion
3) Interval scene - Deepika Padukone escape
4) Kamal Hassan portions.",7.0,0,1,joy,POSITIVE,0,"[{'aspect': 'cinematography', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.8200278878211975}",Negative
Kalki 2898 AD,"10/10 Story, Visuals, OST. 6/10 Protagonist, wirework","This movie comes the closest to realising a vision for a original franchise. Inspiration taken from everywhere but it's executed really well

India has nailed scenery vfx. We're as good as Hollywood when it comes to how good a scene looks

Not much to praise otherwise. It's a solid movie in it's best scenes. Proper pacing, no awkward fast forward editing.

But our problems start with movement. Wirework. The movement is hilariously cartoonish at times. You can take inspiration from Japanese/Chinese movies. They have lower budgets too but they are excellent in depicting movement. In this movie, even with super weapons. It just looks goofy when someone does a 360 roll which looks like it's from Tom & Jerry

The other main issue is protagonist. Every hindi cinema struggles with it. Bhairava (Prabhas) was literally unbearable in the first half. It's like watching this high budget immersive movie with tons of passion, then protagonist was doing 2003 South Cinema tapoori baas gunda acting. It's really awful

Second half is the strongest Indian movie in a while.",8.0,0,0,joy,POSITIVE,0,[],POSITIVE,negative,negative,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.8851999640464783}",Negative
Kalki 2898 AD,Super movie,"Definitely worth watching in the theatre Great visuals, good casting Gives the feel of Dune and Furiosa and Avengers

Only part I didn't personally like is the extremely repetitive and prolonged fights between Bhairava and Aswattama. It could've been way shorter.

Loved Bujji's character buildup, reminds of Wall E, VFX blends well, doesn't feel like forced, well done.

Background score could've been better, not very catchy and could've elevated the mood better.

The part I enjoyed the most is climax, the whole story build up comes to this and doesn't disappoint. Excited about the next part, can't wait to watch Kalki vs Kali with Karna.",10.0,0,1,anger,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9436392784118652}",Positive
Kalki 2898 AD,india hase now create new world off cinematic experience.,"Prabhas' latest film, ""Kalki,"" is nothing short of a cinematic marvel that transcends the boundaries of conventional storytelling. This epic saga, directed by the visionary filmmaker Nag Ashwin, masterfully blends mythology, action, and drama to create a mesmerizing experience for audiences.

Rom the moment the film begins, it captivates with its stunning visuals and intricate set designs, transporting viewers into a world where ancient legends and modern aesthetics seamlessly converge. The attention to detail in the production design is commendable, showcasing the meticulous efforts of the entire creative team.",10.0,0,0,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9778017401695251}",Positive
Kalki 2898 AD,Mahabharat and Amithab that's it!,"Only two things are good about this movie Mahabharat scenes and Amithab. Even VFX and CGI of only those entities are good , rest are laughable especially Prabhas! Not his fault, director is the one to blame. Arshad warsi said right if u can tell it's cgi or vfx that means u have done a poor job, and they have. Amithab was spot on with delivery and character history, acting. It was fun to see younger version of amithab. For krishna they should have picked the TV guy , it would have been easy win, audience would have preferred that, they missed the trick there. Prabhas character I don't know why they did that to his character development, he was a joker who is bad at being comical that's how bad it was.",5.0,3,1,sadness,NEGATIVE,0,"[{'aspect': 'director', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.7370431423187256}",EMPTY
